car3
police3,	113,74,113,
police4,	69,69,35,
policeb,	112,112,112,
policew,	13,13,13,
cognoscenti,    0,3,0, 0,24,0, 0,40,0, 0,106,0, 0,110,0, 14,3,14, 14,24,14, 14,40,14, 14,106,14, 14,110,14, 49,3,49, 49,24,49, 49,40,49, 49,106,49, 56,110,56, 56,3,56, 56,24,56, 56,40,56, 56,106,56, 56,110,56, 84,3,84, 84,24,84, 84,40,84, 84,106,84, 84,110,84, 102,3,102, 102,24,102, 102,40,102, 102,106,102, 102,110,102, 133,3,133, 133,24,133, 133,40,133, 133,106,133, 133,110,133,
buccaneer,	0,103,103, 16,103,103, 58,110,91, 69,106,69, 16,103,103, 36,103,103,
a6,	0,0,8,0, 0,0,0,0, 0,0,123,0, 106,106,132,106, 133,133,48,133, 91,91,115,91, 103,103,111,103, 40,40,106,40, 113,113,133,113, 93,93,115,93, 102,102,104,102,
blista, 	62,0,0, 85,0,0, 1,0,0, 129,0,0, 0,0,0, 69,0,0, 31,0,0, 34,0,0, 7,0,0, 118,0,0, 128,0,0,  27,0,0, 51,0,0,
supergt,	0,134,133,134, 0,134,133,31, 0,109,133,109, 0,90,133,90, 133,134,0,134, 133,134,0,31, 133,109,0,109, 133,90,0,90, 33,134,68,134, 33,134,68,31, 33,109,68,109, 33,90,68,90, 52,134,63,134, 52,134,63,31, 52,109,63,109, 52,90,63,90, 19,134,133,134, 19,134,133,31, 19,109,133,109, 19,90,133,90,
r5, 	62,0,62, 85,0,85, 1,1,1, 129,0,129, 0,0,0, 69,69,69, 31,31,31, 34,34,34, 7,7,7, 118, 0, 118, 128, 0, 128,  27, 0, 27, 51, 0, 51, 59, 0, 59, 89,0,89,

apc,		1,1,1,
end
